gene_name,log2FoldChange,pvalue,log pvalue
SAUSA300_RS09630,-6.535948505,5.02E-238,237.2994329
SAUSA300_RS02065,-5.056190008,6.53E-208,207.1853074
SAUSA300_RS04985,-4.782292233,2.27E-139,138.6446418
SAUSA300_RS11820,-4.579915499,2.02E-136,135.6950579
xpt,-4.247359154,1.07E-113,112.9715098
SAUSA300_RS07480,-4.078149247,0.003109348,2.50733065
SAUSA300_RS06875,-3.966320217,0.003346677,2.475386139
SAUSA300_RS10780,-3.947817593,0.008373542,2.07709078
sspA,-3.932141168,7.16E-34,33.14522246
esaC,-3.845249988,1.29E-41,40.88890342
SAUSA300_RS03125,-3.719348814,0.01040238,1.982867281
SAUSA300_RS15565,-3.687609022,0.031684712,1.499150241
esxB,-3.624122208,2.54E-46,45.59532579
SAUSA300_RS15610,-3.572211991,4.99E-06,5.302276404
SAUSA300_RS04150,-3.463916582,0.022547691,1.646897933
-,-3.386669494,4.81E-26,25.31768251
sspB,-3.384436507,2.36E-69,68.62653273
SAUSA300_RS15865,-3.365928618,0.030460363,1.516264922
essC,-3.315871036,3.59E-73,72.44539737
SAUSA300_RS01185,-3.292803437,6.77E-25,24.16971289
SAUSA300_RS04245,-3.278132937,4.42E-98,97.3546226
SAUSA300_RS01900,-3.257631558,8.49E-86,85.07086278
nrdG,-3.22199948,1.57E-47,46.8047675
SAUSA300_RS03030,-3.212521123,1.42E-139,138.8480412
-,-3.205322727,9.19E-16,15.03667332
SAUSA300_RS11605,-3.205050652,6.73E-128,127.1718272
hisG,-3.183985226,0.009859006,2.006166876
esxD,-3.171929135,1.13E-30,29.94821949
ilvC,-3.166052465,2.47E-86,85.6080232
SAUSA300_RS00190,-3.139954015,0.047683586,1.321631092
SAUSA300_RS01530,-3.080621659,2.96E-54,53.52885622
purE,-3.080310953,2.29E-16,15.63946299
SAUSA300_RS13900,-3.06850059,1.43E-31,30.84424084
leuB,-3.062548164,7.34E-66,65.13437213
SAUSA300_RS01910,-3.05296237,1.61E-28,27.79278792
esaB,-3.032141793,3.77E-11,10.42386664
SAUSA300_RS13670,-3.031982076,0.001036734,2.984332551
metC,-2.990568078,1.67E-35,34.77785512
