Accession,Description,Total_Bases,A_pct,T_pct,G_pct,C_pct,GC_pct,AT_pct
AANN01639131.1,AANN01639131.1 Erinaceus europaeus voucher Broad:S,1670,29.88,32.81,16.59,20.72,37.31,62.69
AANN01640391.1,AANN01640391.1 Erinaceus europaeus voucher Broad:S,1513,26.64,31.13,22.27,19.96,42.23,57.77
AANN01640421.1,AANN01640421.1 Erinaceus europaeus voucher Broad:S,4508,27.62,28.31,21.69,22.38,44.08,55.92
AANN01641071.1,AANN01641071.1 Erinaceus europaeus voucher Broad:S,1976,27.38,34.87,19.03,18.72,37.75,62.25
AANN01641711.1,AANN01641711.1 Erinaceus europaeus voucher Broad:S,1650,26.85,21.39,28.06,23.70,51.76,48.24
AANN01642081.1,AANN01642081.1 Erinaceus europaeus voucher Broad:S,2335,26.94,24.50,25.61,22.96,48.57,51.43
AANN01642591.1,AANN01642591.1 Erinaceus europaeus voucher Broad:S,1630,28.53,28.10,23.68,19.69,43.37,56.63
AANN01643391.1,AANN01643391.1 Erinaceus europaeus voucher Broad:S,1199,23.19,31.61,23.10,22.10,45.20,54.80
AANN01643971.1,AANN01643971.1 Erinaceus europaeus voucher Broad:S,2496,25.44,24.36,22.24,27.96,50.20,49.80
AANN01644631.1,AANN01644631.1 Erinaceus europaeus voucher Broad:S,2099,25.30,29.25,18.44,27.01,45.45,54.55
AANN01644651.1,AANN01644651.1 Erinaceus europaeus voucher Broad:S,1305,26.97,30.27,20.77,21.99,42.76,57.24
AANN01645571.1,AANN01645571.1 Erinaceus europaeus voucher Broad:S,2187,26.02,35.12,17.97,20.90,38.87,61.13
AANN01646051.1,AANN01646051.1 Erinaceus europaeus voucher Broad:S,1737,29.25,29.71,20.73,20.32,41.05,58.95
AANN01646451.1,AANN01646451.1 Erinaceus europaeus voucher Broad:S,1495,23.95,23.55,29.77,22.74,52.51,47.49
AANN01646691.1,AANN01646691.1 Erinaceus europaeus voucher Broad:S,2110,22.23,42.42,18.63,16.73,35.36,64.64
AANN01647091.1,AANN01647091.1 Erinaceus europaeus voucher Broad:S,1346,22.73,25.26,26.45,25.56,52.01,47.99
AANN01647711.1,AANN01647711.1 Erinaceus europaeus voucher Broad:S,1367,27.87,24.21,22.60,25.31,47.92,52.08
AANN01648291.1,AANN01648291.1 Erinaceus europaeus voucher Broad:S,1285,27.00,26.15,25.06,21.79,46.85,53.15
AANN01648351.1,AANN01648351.1 Erinaceus europaeus voucher Broad:S,1466,37.38,24.69,21.21,16.71,37.93,62.07
AANN01649151.1,AANN01649151.1 Erinaceus europaeus voucher Broad:S,3159,26.40,32.42,20.96,20.23,41.18,58.82
AANN01649231.1,AANN01649231.1 Erinaceus europaeus voucher Broad:S,1303,28.40,32.16,21.57,17.88,39.45,60.55
AANN01650474.1,AANN01650474.1 Erinaceus europaeus voucher Broad:S,2044,29.01,30.43,17.07,23.48,40.56,59.44
AANN01650834.1,AANN01650834.1 Erinaceus europaeus voucher Broad:S,1369,26.44,35.65,20.45,17.46,37.91,62.09
AANN01651174.1,AANN01651174.1 Erinaceus europaeus voucher Broad:S,1164,27.49,28.61,23.45,20.45,43.90,56.10
AANN01651874.1,AANN01651874.1 Erinaceus europaeus voucher Broad:S,1505,24.85,32.62,20.53,21.99,42.52,57.48
AANN01652634.1,AANN01652634.1 Erinaceus europaeus voucher Broad:S,1890,26.30,27.78,23.28,22.65,45.93,54.07
AANN01652714.1,AANN01652714.1 Erinaceus europaeus voucher Broad:S,1508,25.00,26.66,25.40,22.94,48.34,51.66
AANN01653364.1,AANN01653364.1 Erinaceus europaeus voucher Broad:S,1190,25.97,22.18,24.96,26.89,51.85,48.15
